web-scraper-order,web-scraper-start-url,sds,sds-href,pdf,pdf-href
"1753317785-1","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-scentiva-multi-surface-cleaner-all-scents/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2019/04/Clorox-Scentiva-Multi-Surface-Cleaner-All-Scents.pdf"
"1753317790-2","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-all-purpose-cleaner-concentrated/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2020/02/Clorox-All-Purpose-Cleaner-Concentrated.pdf"
"1753317795-3","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-disinfecting-all-purpose-cleaner-spray-lemon/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2020/11/US002004-Clorox%C2%AE-Disinfecting-All-Purpose-Cleaner-Spray-Lemon.pdf"
"1753317800-4","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-disinfecting-multi-purpose-cleaner/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2021/03/US002015-Clorox%C2%AE-Disinfecting-Multi-Purpose-Cleaner_2.pdf"
"1753317805-5","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-multi-purpose-cleaner-concentrate/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2021/09/USA002057-Clorox-Multi-Purpose-Cleaner-Concentrate_1.pdf"
"1753317811-6","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-pro-green-works-97-naturally-derived-all-purpose-cleaner-original-scent/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2021/11/US001688-Clorox-Pro-Greenworks-97-Naturally-Derived-All-Purpose-Cleaner-Original-Scent.pdf"
"1753317816-7","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-multi-purpose-cleaner-citrus-grove-english/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/01/Clorox-Multi-Purpose-Cleaner-Citrus-Grove-US-SDS-English-2022.pdf"
"1753317826-8","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-multi-purpose-cleaner-crisp-lemon-english/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/01/Clorox-Multi-Purpose-Cleaner-Crisp-Lemon-US-SDS-English-2022.pdf"
"1753317836-9","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-multi-purpose-cleaner-refills-crisp-lemon-english/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/01/Clorox-Multi-Purpose-Cleaner-Refills-Crisp-Lemon-US-SDS-English-2022.pdf"
"1753317846-10","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-multi-purpose-cleaner-refills-citrus-groves-english/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/01/Clorox-Multi-Purpose-Cleaner-Refills-Citrus-Grove-US-SDS-English-2022.pdf"
