web-scraper-order,web-scraper-start-url,sds,sds-href,pdf,pdf-href
"1753318033-1","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-disinfecting-bathroom-cleaner/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/cloroxdisinfectingbathroomcleanerjw.pdf"
"1753318038-2","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-disinfecting-bleach-foamer-for-the-bathroom-fresh-scent/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/cloroxdisinfectingbleachfoamerforthebathroom-freshscentjw.pdf"
"1753318043-3","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-disinfecting-bleach-foamer-for-the-bathroom/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2020/12/US001042-cloroxdisinfectingbleachfoamerforthebathroom_3.pdf"
"1753318048-4","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/tilex-bathroom-cleaner-lemon-scent/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/tilexbathroomcleaner-lemonscentjw.pdf"
"1753318053-5","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/tilex-tile-grout-pen/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/tilextilegroutpenjw2014-09-21.pdf"
"1753318058-6","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/tilex-outdoorindoor-mold-stain-mildew-stain-remover/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/tilexoutdoor-indoormoldstainmildewstainremoverjw.pdf"
"1753318064-7","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/tilex-mold-mildew-remover-lavender-scent/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/tilexmoldmildewremover-lavenderscentjw.pdf"
"1753318069-8","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/tilex-mildew-root-penetrator-remover/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2018/05/Clorox-Plus-Tilex-Mildew-Root-Penetrator-Remover.pdf"
"1753318074-9","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-disinfecting-toiletwand-refills/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/cloroxdisinfectingtoiletwandrefillsjw2014-12-16.pdf"
"1753318079-10","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-blue-automatic-toilet-bowl-cleaner-rain-clean-scent/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/cloroxblueautomatictoiletbowlcleaner-raincleanscentjw2014-12-01-2.pdf"
