web-scraper-order,web-scraper-start-url,sds,sds-href,pdf,pdf-href
"1753315029-1","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/brita-standard-pitcher-replacement-filter/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/britastandardpitcherreplacementfilter11-21-16.pdf"
"1753315034-2","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/brita-faucet-replacement-filter-white-or-chrome/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/britafaucetreplacementfilter-whiteorchromejw2014-11-13.pdf"
"1753315039-3","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/brita-faucet-filtration-system-complete-system-mechanical-indicator/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/britafaucetfiltrationsystem-completesystemmechanicalindicatorjw2014-11-13.pdf"
"1753315044-4","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/brita-faucet-filtration-system-complete-system-electronic-indicator-old/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/britafaucetfiltrationsystem-completesystemelectronicindicatorjw2014-11-13-4.pdf"
"1753315049-5","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/brita-faucet-filtration-system-complete-system-electronic-indicator/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/britafaucetfiltrationsystem-completesystemelectronicindicatorjw2014-11-13-2.pdf"
"1753315054-6","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/brita-faucet-filtration-system-basic-system-mechanical-indicator/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/britafaucetfiltrationsystem-basicsystemmechanicalindicatorjw2014-11-13.pdf"
"1753315059-7","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/brita-bottle-filter-for-soft-squeeze-bottles/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/britabottlefilter-forsoftsqueezebottlesjw2014-10-10.pdf"
"1753315064-8","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/brita-bottle-filter-for-hard-sided-bottles/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/britabottlefilter-forhardsidedbottlesjw2014-10-10.pdf"
"1753315070-9","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/brita-stream-filter-as-you-pour-water-filtration-system-pitchers/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/britastreamfilter-as-you-pourwaterfiltrationsystempitchers11-21-16.pdf"
"1753315075-10","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/brita-stream-filter-as-you-pour-pitcher-replacement-filter/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/britastreamfilter-as-you-pourpitcherreplacementfilter11-21-16.pdf"
"1753315080-11","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/brita-longlast-pitcher-replacement-filters/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2024/09/USA-Brita-EliteLong-Last-Replacement-Filter-OBO6_1.pdf"
"1753315086-12","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/brita-water-filtration-system-pitchers-and-dispenser-with-brita-standard-filter/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/britawaterfiltrationsystem-pitcherordispenserwithbritastandardfilternobattery11-21-16.pdf"
"1753315091-13","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/brita-tahoe-huron-everyday-and-champlain-pitcher-english/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/02/SDS-US-Brita-Tahoe-Huron-Everyday-and-Champlain-Pitcher-English-2022.pdf"
"1753315096-14","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/brita-hub-replacement-filter-ct01/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2024/07/USA005000-Brita-HUB-Replacement-Filter-CT01_1.pdf"
"1753315101-15","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/brita-plus-filter-ob08/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2024/08/USA-Brita-Plus-OB08-Replacement-Filter_1.pdf"
"1753315106-16","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/brita-refillable-replacement-filter-ob07/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2024/08/USA-Brita-Refillable-Replacement-Filter-OB07_1.pdf"
