web-scraper-order,web-scraper-start-url,sds,sds-href,pdf,pdf-href
"1753315624-1","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/kingsford-charcoal-briquets-with-mesquite/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2018/06/Kingsford-Charcoal-Briquets-with-Mesquite.pdf"
"1753315628-2","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/kingsford-charcoal-briquets-with-hickory/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2018/06/Kingsford-Charcoal-Briquets-with-Hickory.pdf"
"1753315632-3","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/kingsford-charcoal-briquets-with-applewood/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/kingsfordcharcoalbriquetswithapplewood.pdf"
"1753315636-4","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/kingsford-bbq-bag-charcoal-briquets/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/kingsfordbbqbagcharcoalbriquetsjw2014-11-07.pdf"
"1753315640-5","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/kingsford-long-burning-briquets/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2021/04/US001032-Kingsford-Long-Burning-Briquets_2.pdf"
"1753315644-6","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/kingsford-easy-light-bag-single-use-bag-charcoal-briquets/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2021/05/US001488-kingsford-easy-light-charcoal-briquets_2.pdf"
"1753315648-7","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/kingsford-competition-briquets/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/kingsfordcompetitionbriquetsjw2014-11-07.pdf"
"1753315653-8","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/kingsford-professional-competition-briquets/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/kingsfordprofessionalcompetitionbriquets2016-03-03.pdf"
"1753315657-9","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/kingsford-professional-briquets/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/kingsfordprofessionalbriquets2016-03-03.pdf"
"1753315662-10","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/kingsford-original-charcoal-briquets/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2024/02/Kingsford-Original-Charcoal-Briquets-EN-ES-USA003055.pdf"
"1753315666-11","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/kingsford-match-light-instant-charcoal-briquets-with-mesquite/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/kingsfordmatchlightinstantcharcoalbriquetswithmesquite.pdf"
"1753315670-12","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/kingsford-match-light-instant-charcoal-briquets/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/kingsfordmatchlightinstantcharcoalbriquetsjw2014-11-07.pdf"
"1753315674-13","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/kingsford-charcoal-briquets-with-cherrywood/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2019/02/Kingsford%C2%AE-Charcoal-Briquets-with-Cherrywood.pdf"
"1753315678-14","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/kingsford-charcoal-briquets-with-pecan/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2019/02/Kingsford-Charcoal-Briquets-with-Pecan.pdf"
"1753315682-15","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/kingsford-match-light-instant-charcoal-briquets-with-hickory/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2019/02/Kingsford%C2%AE-Match-Light%C2%AE-Instant-Charcoal-Briquets-with-Hickory.pdf"
"1753315686-16","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/kingsford-100-natural-hardwood-briquets/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2019/03/Kingsford%C2%AE-100-Natural-Hardwood-Briquets.pdf"
"1753315690-17","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/kingsford-odorless-charcoal-lighter/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2019/03/Kingsford-Odorless-Charcoal-Lighter.pdf"
"1753315694-18","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/kingsford-odorless-charcoal-lighter-bilingual/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2020/03/Kingsford-Odorless-Charcoal-Lighter-Bilingual.pdf"
"1753315698-19","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/kingsford-signature-flavors-wood-pellets-various-varieties/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2021/05/US001031-Kingsford-Signature-Flavors-Wood-Pellets-3-Varieties_0.pdf"
"1753315702-20","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/kingsford-signature-flavors-briquets-various-varieties-us002048/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2021/12/US002048KingsfordSignatureFlavorsBriquets3Varieties.pdf"
"1753315706-21","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/kingsford-pellets-all-varieties/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/02/Kingsford-Pellets-All-Varieties-SDS-1-2.pdf"
"1753315710-22","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/kingsford-signature-flavors-wood-pellets-memphis-bbq/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/10/USA003030-Kingsford-Signature-Flavors-Wood-Pellets-Memphis-BBQ_0.pdf"
"1753315715-23","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/kingsford-signature-flavors-wood-pellets-bourbon-bbq/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/10/USA003036-Kingsford-Signature-Flavors-Wood-Pellets-Bourbon-BBQ_0.pdf"
"1753315719-24","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/kingsford-signature-flavors-flavor-boosters-memphis-bbq/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/10/USA003032-Kingsford-Signature-Flavors-Flavor-Boosters-Memphis-BBQ_0.pdf"
"1753315723-25","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/kingsford-signature-flavors-briquets-memphis-bbq/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/10/USA003033-Kingsford-Signature-Flavors-Briquets-Memphis-BBQ_0.pdf"
"1753315728-26","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/kingsford-high-heat-briquets-usa003051/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2024/02/Kingsford-High-Heat-Briquets-USA003051-1.pdf"
"1753315732-27","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/kingsford-low-and-slow-briquets-usa003050/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2024/02/Kingsford-Low-and-Slow-Briquets-USA003050.pdf"
"1753315736-28","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/kingsford-signature-flavors-charcoal-briquets-and-flavor-boosters-memphis-bbq-usa003052/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2024/02/Kingsford-Signature-Flavors-Charcoal-Briquets-and-Flavor-Boosters-Memphis-BBQ-USA003052.pdf"
