web-scraper-order,web-scraper-start-url,sds,sds-href,pdf,pdf-href
"1753318617-1","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-4-in-one-disinfecting-spray-citrus-scent/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2019/03/Clorox%C2%AE-4-in-One-Disinfecting-Spray-Citrus-Scent.pdf"
"1753318622-2","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-4-in-one-disinfecting-spray/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2019/03/Clorox%C2%AE-4-in-One-Disinfecting-Spray.pdf"
"1753318628-3","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/cloroxpro-clorox-disinfecting-spray-multilingual/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2021/03/US001451-CloroxPro-Clorox%C2%AE-Disinfecting-Spray_Multilingual_0.pdf"
"1753318633-4","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-disinfecting-mist-multi-surface-eucalyptus-peppermint/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2021/08/USA002054-Clorox-Disinfecting-Mist-Multi-Surface-Eucalyptus-Peppermint_1.pdf"
"1753318638-5","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-disinfecting-mist-multi-surface-lemongrass-mandarin/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2021/08/USA002055-Clorox-Disinfecting-Mist-Multi-Surface-Lemongrass-Mandarin_1.pdf"
"1753318643-6","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-pro-broad-spectrum-quaternary-disinfectant-cleaner/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2021/11/US001681-Clorox-Pro%C2%AE-Broad-Spectrum-Quaternary-Disinfectant-Cleaner.pdf"
"1753318653-7","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-disinfecting-mist-lemongrass-mandarin-lemon-orange-blossom-2/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/01/SDS-US-Clorox%C2%AE-Disinfecting-Mist-Multi-Surface-Lemon-Orange-Blossom-English-USA002061.pdf"
"1753318658-8","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-disinfecting-mist-free-clear/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/11/USA002078-Clorox-Disinfecting-Mist-Free-Clear_2.pdf"
"1753318664-9","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-scentiva-disinfecting-mist-coconut-waterlily/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2023/01/USA002125-Clorox-Scentiva-Disinfecting-Mist-Coconut-Waterlily_1.pdf"
"1753318669-10","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-scentiva-disinfecting-mist-grapefruit-orange-blossom/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2023/01/USA002126-Clorox-Scentiva-Disinfecting-Mist-Grapefruit-Orange-Blossom_1.pdf"
"1753318674-11","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-scentiva-disinfecting-mist-lavender-jasmine/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2023/01/USA002127-Clorox-Scentiva-Disinfecting-Mist-Lavender-Jasmine_1.pdf"
