web-scraper-order,web-scraper-start-url,sds,sds-href,pdf,pdf-href
"1753318820-1","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-triple-action-floor-dusters/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/cloroxtripleactionfloordusters2016-04-18.pdf"
"1753318825-2","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-scentiva-disinfecting-wet-mopping-cloths/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2019/11/Clorox%C2%AE-Scentiva%C2%AE-Disinfecting-Wet-Mopping-Cloths-All-Fragrances.pdf"
"1753318830-3","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/green-works-floor-cleaner-bilingual/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2020/03/Green-Works-Floor-Cleaner-Bilingual.pdf"
"1753318835-4","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-disinfecting-wet-mopping-cloths/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2021/09/USA001249-Clorox-Disinfecting-Wet-Mopping-Cloths-Rain-Clean_1.pdf"
"1753318841-5","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-scentiva-disinfecting-wet-mopping-cloths-coconut-waterlily/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/10/USA002063-Clorox-Scentiva-Disinfecting-Wet-Mopping-Cloths-Coconut-Waterlily_1.pdf"
"1753318846-6","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-scentiva-disinfecting-wet-mopping-cloths-grapefruit-orange-blossom/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/10/USA002002-Clorox-Scentiva-Disinfecting-Wet-Mopping-Cloths-Grapefruit-Orange-Blossom_1.pdf"
"1753318851-7","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-scentiva-disinfecting-wet-mopping-cloths-lavender-jasmine/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/10/USA002064-Clorox-Scentiva-Disinfecting-Wet-Mopping-Cloths-Lavender-Jasmine_1.pdf"
"1753318856-8","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-scentiva-disinfecting-wet-mopping-cloths-pacific-breeze-coconut/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/10/USA001173-Clorox-Scentiva-Disinfecting-Wet-Mopping-Cloths-Pacific-Breeze-Coconut_1.pdf"
"1753318861-9","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-scentiva-disinfecting-wet-mopping-cloths-tahitian-grapefruit-splash/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/10/USA001535-Clorox-Scentiva-Disinfecting-Wet-Mopping-Cloths-Tahitian-Grapefruit-Splash_1.pdf"
"1753318866-10","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-scentiva-disinfecting-wet-mopping-cloths-tuscan-lavender-jasmine/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/10/USA001138-Clorox-Scentiva-Disinfecting-Wet-Mopping-Cloths-Tuscan-Lavender-Jasmine_1.pdf"
