web-scraper-order,web-scraper-start-url,sds,sds-href,pdf,pdf-href
"1753317597-1","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/formula-409-multi-surface-cleaner-lemon-fresh/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/formula409multi-surfacecleaner-lemonfreshjw2015-11-09.pdf"
"1753317602-2","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/formula-409-multi-surface-cleaner/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/02/SDS-US-Formula-409%C2%AE-Multi-Surface-Cleaner-English-2022.pdf"
"1753317607-3","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/formula-409-glass-surface-cleaner/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/formula409glasssurfacecleanerjw2014-08-10.pdf"
"1753317612-4","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/formula-409-carpet-spot-stain-remover-aerosol/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/formula409carpetspotstainremoveraerosoljw2014-10-30.pdf"
"1753317618-5","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/formula-409-carpet-spot-stain-remover/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/formula409carpetspotstainremovernon-aerosoljw2014-08-03.pdf"
"1753317623-6","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/formula-409-all-purpose-antibacterial-cleaner-lemon-fresh/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/formula409antibacterialkitchenallpurposecleanerlemonfreshepa581373.pdf"
"1753317628-7","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/formula-409-all-purpose-antibacterial-cleaner/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/02/SDS-US-Formula-409%C2%AE-All-Purpose-Antibacterial-Cleaner-English-2022.pdf"
"1753317633-8","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/formula-409-stone-steel-cleaner/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/formula409stonesteelcleanerjw2014-08-10.pdf"
"1753317638-9","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/formula-409-carpet-cleaner/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/08/USA001216-Formula-409-Carpet-Cleaner_1.pdf"
"1753317643-10","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/cloroxpro-formula-409-cleaner-degreaser-disinfectant/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2021/07/USA001234-CloroxPro-Formula-409-Cleaner-Degreaser-Disinfectant_1.pdf"
