web-scraper-order,web-scraper-start-url,sds,sds-href,pdf,pdf-href
"1753318911-1","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-antibacterial-degreaser-citrus-scent-clorox-desengrasante-antibacterial-fragancia-citrica/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/cloroxantibacterialdegreaser-citrusscent-cloroxdesengrasanteantibacterial-fraganciacitricajw2014-08-10.pdf"
"1753318916-2","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-scrub-singles-kitchen-citrus-blend/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/cloroxscrubsingleskitchencitrusblend.pdf"
"1753318921-3","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-pump-n-clean-kitchen-dish-cleaner-crisp-citrus/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/cloroxpumpncleankitchenanddishcleanercrispcitrus.pdf"
"1753318926-4","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-kitchen-cleaner-bleach1/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/cloroxkitchencleanerbleach1jw.pdf"
"1753318931-5","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/greenworks-dishwashing-liquid-98-naturally-derived-simply-tangerine/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/greenworksdishwashingliquid-98naturallyderived-simplytangerinejw2014-10-15.pdf"
"1753318936-6","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/greenworks-dishwashing-liquid-97-naturally-derived-water-lily/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/greenworksdishwashingliquid-97naturallyderived-waterlilyjw2014-10-15.pdf"
"1753318941-7","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/greenworks-98-naturally-derived-dishwashing-liquid-free-clear/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/greenworksdishwashingliquid-98naturallyderived-freeclearjw2014-10-15.pdf"
"1753318946-8","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/greenworks-98-naturally-derived-dishwashing-liquid-original/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2018/03/Green-Works-Dishwashing-Liquid-98-Naturally-Derived-Original.pdf"
"1753318951-9","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/green-works-automatic-dishwasher-detergent/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2019/12/Green-Works-Automatic-Dishwasher-Detergent.pdf"
"1753318956-10","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/brita-tahoe-pitcher-us/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/02/SDS-US-Brita-Tahoe-Pitcher-English-2022.pdf"
"1753318961-11","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/liquid-plumr-pro-strength-clog-destroyer-plus-foaming-clog-fighter/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/09/USA001338-Liquid-Plumr-Pro-Strength-Clog-Destroyer-plus-Foaming-Clog-Fighter_1.pdf"
"1753318966-12","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/real-simple-dish-soap-rose-scent/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/09/Real-Simple-Dish-Soap-SDS.pdf"
