web-scraper-order,web-scraper-start-url,sds,sds-href,pdf,pdf-href
"1753319012-1","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-2-stain-remover-precision-pen-for-colors/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/clorox2stainremoverprecisionpenforcolorsjw2014-12-16.pdf"
"1753319017-2","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-2-stain-remover-for-colors/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/clorox2stainremoverforcolorsjw2014-08-03.pdf"
"1753319023-3","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-2-power-stain-remover/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/clorox2powerstainremoverjw2014-07-27.pdf"
"1753319028-4","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-2-advanced-whitening-stain-fighter-booster/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/clorox2advancedwhiteningstainfighterboosterjw2014-07-27.pdf"
"1753319033-5","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-2-oxi-max-stain-and-odor-remover-fresh-meadow/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/clorox2oximaxstainandodorremover-freshfloral3-6-15.pdf"
"1753319038-6","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-2-oxi-max-stain-and-odor-remover/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/clorox2oximaxstainandodorremover2015-05-22.pdf"
"1753319043-7","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-2-for-darks-denim-color-protector-stain-remover/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/clorox2darksdenimcolorprotectorstainremoverjw2015-03-25.pdf"
"1753319048-8","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-2-stain-remover-color-booster-packs/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/clorox2stainremovercolorboosterpacksjw2014-09-28.pdf"
"1753319053-9","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-2-stain-remover-color-booster-dry/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2024/06/USA004041-Clorox-2%C2%AE-Stain-Remover-Color-Booster-Dry_1.pdf"
"1753319058-10","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-2-stain-remover-color-booster-original-scent-liquid/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/clorox2stainremovercolorbooster-originalscentliquidjw2014-07-27.pdf"
"1753319063-11","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-2-stain-remover-color-booster-lavender-liquid/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/clorox2stainremovercolorbooster-lavenderliquidjw2014-07-27.pdf"
"1753319069-12","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-2-stain-remover-liquid/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/clorox2stainremovercolorbooster-freshmeadowliquidjw2014-07-27.pdf"
"1753319074-13","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-2-stain-remover-color-booster-free-clear-liquid/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/clorox2stainremovercolorbooster-freeclearliquidjw2014-07-27.pdf"
"1753319079-14","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-2-stain-remover-color-booster-clean-linen/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/clorox2stainremoverandcolorbooster-cleanlinen01052015.pdf"
"1753319084-15","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-2-stain-remover-dry/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2024/06/USA004042-Clorox-2%C2%AE-Stain-Remover-Color-Booster-%E2%80%93-Citrus-Blend%E2%84%A2-Dry_1.pdf"
"1753319089-16","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/totally-spotless-feminine-stain-remover-powered-by-clorox-2/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/totallyspotlessfemininestainremover11-28-16.pdf"
"1753319094-17","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-oxi-max-radiant-white-laundry-stain-remover/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/cloroxoximaxradiantwhitelaundrystainremover2015-03-25.pdf"
"1753319099-18","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/greenworks-98-naturally-derived-laundry-detergent-free-clear/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/greenworkslaundrydetergent-98naturallyderived-freeclearjw2014-10-18.pdf"
"1753319104-19","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/greenworks-96-naturally-derived-laundry-detergent-lavender/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/greenworkslaundrydetergent-96naturallyderived-lavenderjw2014-10-18.pdf"
"1753319109-20","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/green-works-oxi-stain-remover-99-naturally-derived-free-clear/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/greenworksoxistainremover-99naturallyderived-freeclearjw2014-09-21.pdf"
"1753319115-21","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-2-free-clear-stain-remover-color-booster-packs/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2018/02/Clorox-2%C2%AE-Free-Clear-Stain-Remover-Color-Booster-Packs.pdf"
