web-scraper-order,web-scraper-start-url,sds,sds-href,pdf,pdf-href
"1753316020-1","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/pro-strength-liquid-plumr-urgent-clear-clog-remover/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2025/06/USA001110-Pro-Strength-Liquid-Plumr%C2%AE-Urgent-Clear%E2%84%A2-Clog-Remover_1.pdf"
"1753316025-2","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/pro-strength-liquid-plumr-slow-flow-fighter-clog-remover/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/pro-strengthliquid-plumrslowflowfighterclogremoverjw2014-08-17.pdf"
"1753316030-3","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/pro-strength-liquid-plumr-full-clog-destroyer-clog-remover/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/08/USA001284-Pro-Strength-Liquid-Plumr-Full-Clog-Destroyer_1.pdf"
"1753316035-4","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/pro-strength-liquid-plumr-double-impact-23-snake-gel-system-clog-remove/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2021/01/US001044-pro-strengthliquid-plumrdoubleimpact23snakegelsystemclogremover_2.pdf"
"1753316040-5","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/liquid-plumr-maintenance-clog-remover/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/liquid-plumrmaintenanceclogremoverjw2014-08-16.pdf"
"1753316045-6","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/liquid-plumr-industrial-strength-clog-remover/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/liquid-plumrindustrialstrengthclogremoverjw2014-08-17.pdf"
"1753316050-7","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/liquid-plumr-disposal-drain-foaming-cleaner/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/liquid-plumrdisposaldrainfoamingcleanerjw2014-12-16.pdf"
"1753316055-8","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/liquid-plumr-pro-strength-clog-destroyer-pipeguard/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2021/07/USA001283-Pro-Strength-Liquid-Plumr-Clog-Destroyer-Gel-with-Pipeguard_1.pdf"
"1753316061-9","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/liquid-plumr-clog-destroyer-pipeguard/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2020/12/US001281-Liquid-Plumr%C2%AE-Pro-Strength-Full-Clog-Destroyer_3.pdf"
"1753316066-10","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/liquid-plumr-all-purpose-clog-destroyer-gel/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2019/11/Liquid-Plumr%C2%AE-All-Purpose-Clog-Destroyer-Gel.pdf"
"1753316071-11","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/liquid-plumr-kitchen-industrial-strength-gel/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2019/11/Liquid-Plumr%C2%AE-Kitchen-Industrial-Strength-Gel.pdf"
"1753316076-12","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/pro-strength-liquid-plumr-clog-destroyer-foam-clog-remover/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2021/07/USA001287-Pro-Strength-Liquid-Plumr-Clog-Destroyer-Foam-Clog-Remover_1.pdf"
"1753316081-13","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/pro-strength-liquid-plumr-hair-eliminator-gel-clog-remover/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2021/07/USA001101-Pro-Strength-Liquid-Plumr-Hair-Eliminator-Gel-Clog-Remover_1.pdf"
"1753316086-14","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/pro-strength-liquid-plumr-kitchen-clog-destroyer-2/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2021/07/USA001225-Pro-Strength-Liquid-Plumr-Kitchen-Clog-Destroyer_1.pdf"
