web-scraper-order,web-scraper-start-url,sds,sds-href,pdf,pdf-href
"1753316147-1","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/fresh-step-fast-acting-scoopable-cat-litter-scented/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/freshstepfastactingscoopablecatlitter-scentedjw2014-09-11.pdf"
"1753316153-2","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/fresh-step-extreme-scoopable-cat-litter-unscented/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/freshstepextremescoopablecatlitter-unscentedjw2014-09-11.pdf"
"1753316158-3","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/fresh-step-extreme-scoopable-cat-litter-scented/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/freshstepextremescoopablecatlitter-scentedjw2014-09-11.pdf"
"1753316163-4","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/fresh-step-extreme-clay-cat-litter/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2025/03/Fresh-Step-Non-Clumping-Premium-Clay-Cat-Litter-EN-US-SDS-2025-03-21-003.pdf"
"1753316168-5","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/fresh-step-extreme-hawaiian-aloha/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/freshstepextreme-hawaiianaloha10-13-16pde.pdf"
"1753316173-6","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/fresh-step-dual-action-crystals-scoopable-cat-litter/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/freshstepdualactioncrystalsscoopablecatlitterjw2014-09-11.pdf"
"1753316178-7","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/fresh-step-crystals-premium-cat-litter/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/freshstepcrystalspremiumcatlitterjw2014-09-14.pdf"
"1753316183-8","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/fresh-step-lightweight-extreme-scoopable-cat-litter-scented/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/freshsteplightweightextremescoopablecatlitter-scentedjw2014-09-21.pdf"
"1753316188-9","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/fresh-step-lasting-power-scoopable-cat-litter-scented/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/freshsteplastingpowerscoopablecatlitter-scentedjw2014-09-11.pdf"
"1753316193-10","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/premium-ever-clean-extra-strength-scoopable-cat-litter-unscented/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2023/06/USA004078-Premium-Ever-Clean-Extra-Strength-Scoopable-Cat-Litter-Unscented_1.pdf"
"1753316198-11","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/premium-ever-clean-ever-fresh-with-activated-charcoal-scoopable-cat-litter-unscented/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/09/USA004034-Premium-Ever-Clean-Ever-Fresh-plus-Activated-Charcoal-Cat-Litter-Unscented_2.pdf"
"1753316203-12","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/fresh-step-ultra-care-scoopable-cat-litter-seniors-scented/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/freshstepultracarescoopablecatlitter-seniors-scentedjw2014-09-17.pdf"
"1753316208-13","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/fresh-step-ultra-care-scoopable-cat-litter-kittens-lightly-scented/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/freshstepultracarescoopablecatlitter-kittens-lightlyscentedjw2014-09-21.pdf"
"1753316213-14","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/fresh-step-ultra-care-scoopable-cat-litter-adults-unscented/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/freshstepultracarescoopablecatlitter-adults-unscentedjw2014-09-17.pdf"
