web-scraper-order,web-scraper-start-url,sds,sds-href,pdf,pdf-href
"1753316573-1","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/mandarin-sunrise-pine-sol-multi-surface-cleaner/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/10/USA-SDS-Clorox-Pine-Sol-Multi-Surface-Cleaner-All-Scents_2-7.pdf"
"1753316578-2","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/lemon-fresh-pine-sol-multi-surface-cleaner/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/10/USA-SDS-Clorox-Pine-Sol-Multi-Surface-Cleaner-All-Scents_2-1.pdf"
"1753316583-3","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/lavender-clean-pine-sol-multi-surface-cleaner/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/10/USA-SDS-Clorox-Pine-Sol-Multi-Surface-Cleaner-All-Scents_2-6.pdf"
"1753316588-4","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/garden-fresh-pine-sol-multi-surface-cleaner/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/10/USA-SDS-Clorox-Pine-Sol-Multi-Surface-Cleaner-All-Scents_2-5.pdf"
"1753316594-5","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/sunshine-meadow-pine-sol-multi-surface-cleaner/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/sunshinemeadowpine-solmulti-surfacecleanerjw.pdf"
"1753316599-6","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/sparkling-wave-pine-sol-multi-surface-cleaner/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/10/USA-SDS-Clorox-Pine-Sol-Multi-Surface-Cleaner-All-Scents_2-8.pdf"
"1753316604-7","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/outdoor-fresh-pine-sol-multi-surface-cleaner/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/10/USA-SDS-Clorox-Pine-Sol-Multi-Surface-Cleaner-All-Scents_2-9.pdf"
"1753316609-8","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/original-pine-sol-wet-floor-wipes/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/originalpine-solwetfloorwipesjw.pdf"
"1753316614-9","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/lemon-fresh-pine-sol-wet-floor-wipes/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/lemonfreshpine-solwetfloorwipesjw.pdf"
"1753316619-10","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/original-pine-sol-squirt-n-mop-multi-surface-floor-cleaner/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2018/03/Original-Pine-Sol-Squirt-N-Mop-Multi-Surface-Floor-Cleaner.pdf"
"1753316625-11","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/lemon-fresh-pine-sol-squirt-n-mop-multi-surface-floor-cleaner/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2018/03/Lemon-Fresh-Pine-Sol-Squirt-N-Mop-Multi-Surface-Floor-Cleaner.pdf"
"1753316630-12","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/original-pine-sol-multi-surface-cleaner/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/10/USA-SDS-Clorox-Pine-Sol-Multi-Surface-Cleaner-All-Scents_2-2.pdf"
"1753316635-13","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/pine-sol-multi-surface-cleaner-all-scents/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/10/USA-SDS-Clorox-Pine-Sol-Multi-Surface-Cleaner-All-Scents_2-4.pdf"
"1753316640-14","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/lemon-fresh-pine-sol-concentrated-multi-surface-cleaner/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2020/01/Lemon-Fresh-Pine-Sol%C2%AE-Concentrated-Multi-Surface-Cleaner.pdf"
"1753316645-15","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-original-pine-sol-multi-surface-cleaner2-english-spanish-usa001634/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2024/01/USA001634-Original-Pine-Sol%C2%AE-Multi-Surface-Cleaner2_2.pdf"
"1753316650-16","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-pine-sol-multi-surface-cleaner2-refreshing-clean-english-spanish-usa002004/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2024/01/USA002004-Clorox-Pine-Sol-Multi-Surface-Cleaner2-Refreshing-Clean_2.pdf"
"1753316655-17","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-original-pine-sol-multi-surface-cleaner2-lemon-fresh-english-spanish-usa002145/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2024/01/USA002145-Pine-Sol-Multi-Surface-Cleaner2-Lemon-Fresh_2.pdf"
"1753316660-18","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-original-pine-sol-multi-surface-cleaner2-lavender-clean-english-spanish-usa002146/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2024/01/USA002146-Pine-Sol-Multi-Surface-Cleaner2-Lavender-Clean_2.pdf"
"1753316666-19","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/cherry-blossom-pine-sol-multi-surface-cleaner2/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2024/06/USA004043-Cherry-Blossom-Pine-Sol-Multi-Surface-Cleaner2_1.pdf"
