web-scraper-order,web-scraper-start-url,sds,sds-href,pdf,pdf-href
"1753319404-1","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-pro-quaternary-all-purpose-disinfectant-cleaner1-rtu-solution-1-oz-per-gallon/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/cloroxproquaternaryall-purposedisinfectantcleaner1-rtusolution1oz.pergallon2015-05-28.pdf"
"1753319409-2","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-professional-heavy-duty-all-purpose-cleaner-bleach/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/cloroxprofessionalheavydutyallpurposecleanerbleachjw.pdf"
"1753319414-3","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-professional-heavy-duty-all-purpose-cleaner/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/cloroxprofessionalheavydutyallpurposecleanerjw2014-08-10.pdf"
"1753319419-4","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-pro-quaternary-all-purpose-disinfectant-cleaner-bilingual/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2020/03/Clorox-Pro-Quaternary-All-Purpose-Disinfectant-Cleaner-Bilingual.pdf"
"1753319424-5","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-pro-quaternary-all-purpose-disinfectant-cleaner1_multilingual/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2020/06/Clorox%C2%AE-Pro-Quaternary-All-Purpose-Disinfectant-Cleaner1_Multilingual2.pdf"
"1753319429-6","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-pro-fraganzia-multi-purpose-cleaner-forest-dew/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2021/11/US001339-Clorox-Pro%C2%AE-Clorox%C2%AE-Fraganzia%C2%AE-Multi-Purpose-Cleaners-Forest-Dew-Rocio-del-Bosque_2.pdf"
"1753319434-7","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-professional-fraganzia-multi-purpose-cleaner-spring/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2021/11/US001690-Clorox-Professional-Fraganzia-Multi-Purpose-Cleaner-Spring_2.pdf"
"1753319439-8","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-professional-multi-purpose-cleaner-degreaser-concentrate/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2021/11/US001691-Clorox%C2%AE-Professional-Multi-Purpose-Cleaner-Degreaser-Concentrate.pdf"
"1753319445-9","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/cloroxpro-fraganzia-multi-purpose-cleaner-citrus-blossom-english-spanish-usa004007/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2024/01/USA004007-CloroxPro%C2%AE-Fraganzia%C2%AE-Multi-Purpose-Cleaner-Citrus-Blossom_1.pdf"
"1753319450-10","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/cloroxpro-fraganzia-multi-purpose-cleaner-spring-english-spanish-usa004009/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2024/01/USA004009-CloroxPro%C2%AE-Fraganzia%C2%AE-Multi-Purpose-Cleaner-Spring_1.pdf"
"1753319455-11","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/cloroxpro-fraganzia-multi-purpose-cleaner-lavender-english-spanish-usa004011/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2024/01/USA004011-CloroxPro%C2%AE-Fraganzia%C2%AE-Multi-Purpose-Cleaner-Lavender_1.pdf"
"1753319460-12","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/cloroxpro-clorox-ecoclean-all-purpose-cleaner/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2024/05/USA004031-CloroxPro%C2%AE-Clorox%C2%AE-EcoClean-All-Purpose-Cleaner_1.pdf"
