web-scraper-order,web-scraper-start-url,sds,sds-href,pdf,pdf-href
"1753319877-1","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-healthcare-hydrogen-peroxide-cleaner-disinfectant/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2018/03/Clorox-Healthcare-Hydrogen-Peroxide-Cleaner-Disinfectant.pdf"
"1753319882-2","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-healthcare-fuzion-cleaner-disinfectant/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2018/03/Clorox-Healthcare-Fuzion-Cleaner-Disinfectant.pdf"
"1753319887-3","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/cloroxpro-clorox-pro-quat-5-disinfectant-cleaner-concentrate/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2019/07/CloroxPro%E2%84%A2-Clorox%C2%AE-Pro-Quat-5-Disinfectant-Cleaner-Concentrate.pdf"
"1753319892-4","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-healthcare-spore10-defense-cleaner-disinfectant/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2020/02/Clorox-Healthcare%C2%AE-Spore10-Defense%E2%84%A2-Cleaner-Disinfectant.pdf"
"1753319897-5","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-healthcare-fuzion-cleaner-disinfectant-spanish/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2020/03/Clorox-Healthcare-Fuzion-Cleaner-Disinfectant_ES4.pdf"
"1753319902-6","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-healthcare-fuzion-cleaner-disinfectant_multilingual/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2020/06/Clorox-Healthcare%C2%AE-Fuzion-Cleaner-Disinfectant_Multilingual2.pdf"
"1753319907-7","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-healthcare-hydrogen-peroxide-cleaner-disinfectant_multilingual/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2020/06/Clorox-Healthcare%C2%AE-Hydrogen-Peroxide-Cleaner-Disinfectant_Multilingual2.pdf"
"1753319912-8","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-healthcare-spore10-defense-cleaner-disinfectant_multilingual/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2020/06/Clorox-Healthcare%C2%AE-Spore10-Defense%E2%84%A2-Cleaner-Disinfectant_Multilingual2.pdf"
"1753319917-9","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-clinical-dual-action-germicidal-cleaner-spray/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2020/12/Clorox%C2%AE-Clinical-Dual-Action-Germicidal-Cleaner.pdf"
"1753319922-10","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-turbo-pro-disinfectant-cleaner-for-sprayer-devices/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/04/USA002014-Clorox-Turbo-Pro-Disinfectant-Cleaner-for-Sprayers_4.pdf"
"1753319927-11","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/cloroxpro-total-360-disinfectant-cleaner1/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/04/USA001364-CloroxPro-Total-360-Disinfectant-Cleaner_1.pdf"
"1753319932-12","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-turbo-disinfectant-cleaner-for-sprayer-devices/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2021/04/US002013-Clorox-Turbo-Disinfectant-Cleaner-for-Sprayer-Devices_2.pdf"
"1753319937-13","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-pro-clorox-professional-floor-cleaner-degreaser-concentrate/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2021/11/US001687-Clorox-Pro-Clorox-Professional-Floor-Cleaner-Degreaser-Concentrate_1.pdf"
"1753319942-14","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/cloroxpro-clorox-ecoclean-glass-cleaner/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2025/03/USA004047-CloroxPro%C2%AE-Clorox%C2%AE-EcoClean-Glass-Cleaner_1.pdf"
"1753319948-15","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/cloroxpro-clorox-green-works-99-naturally-derived-glass-cleaner-concentrate/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/09/USA001425-CloroxPro-Clorox-Green-Works-99-Naturally-Derived-Glass-Cleaner-Concentrate_1.pdf"
"1753319953-16","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/cloroxpro-clorox-green-works-99-naturally-derived-general-purpose-cleaner-concentrate/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/09/USA001446-CloroxPro-Clorox-Green-Works-99-Naturally-Derived-General-Purpose-Cleaner-Concentrate_1.pdf"
"1753319958-17","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/cloroxpro-clorox-green-works-99-naturally-derived-neutral-floor-cleaner-concentrate/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/09/USA001448-CloroxPro-Clorox-Green-Works-99-Naturally-Derived-Neutral-Floor-Cleaner-Concentrate_1.pdf"
"1753319963-18","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/cloroxpro-clorox-green-works-98-naturally-derived-all-purpose-cleaner-original-scent/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/09/USA001441-CloroxPro-Clorox-Green-Works-All-Purpose-Cleaner-98-Naturally-Derived-Original-Scent_1.pdf"
"1753319968-19","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/cloroxpro-clorox-ecoclean-disinfecting-cleaner-english/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2024/05/USA004029-CloroxPro%C2%AE-Clorox%C2%AE-EcoClean-Disinfecting-Cleaner_1.pdf"
"1753319973-20","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/cloroxpro-clorox-ecoclean-all-purpose-cleaner/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2024/05/USA004031-CloroxPro%C2%AE-Clorox%C2%AE-EcoClean-All-Purpose-Cleaner_1.pdf"
