web-scraper-order,web-scraper-start-url,sds,sds-href,pdf,pdf-href
"1753320464-1","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-professional-pine-sol-lemon-fresh-cleaner/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/cloroxprofessionalpine-sollemonfreshcleanerjw.pdf"
"1753320469-2","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/pine-sol-cloroxpro-cleaner-sparkling-wave/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2019/12/Pine-Sol-CloroxPro-Cleaner-Sparkling-Wave.pdf"
"1753320474-3","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/cloroxpro-pine-sol-all-purpose-cleaner-lemon-fresh/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2021/07/USA001121-CloroxPro-Pine-Sol-All-Purpose-Cleaner-Lemon-Fresh_1.pdf"
"1753320479-4","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/cloroxpro-pine-sol-all-purpose-cleaner-lavender-clean/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2020/08/CloroxPro-Pine-Sol-All-Purpose-Cleaner-Lavender-Clean.pdf"
"1753320484-5","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/cloroxpro-pine-sol-all-purpose-cleaner-orange-energy/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2020/08/CloroxPro-Pine-Sol-All-Purpose-Cleaner-Orange-Energy.pdf"
"1753320489-6","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/cloroxpro-pine-sol-multi-surface-cleaner/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/10/USA-SDS-Clorox-Pine-Sol-Multi-Surface-Cleaner-All-Scents_2-3.pdf"
"1753320494-7","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/cloroxpro-pine-sol-all-purpose-cleaner-concentrate-simply-lemon/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2021/05/US001263-CloroxPro-Pine-Sol-All-Purpose-Cleaner-Concentrate-Simply-Lemon_1.pdf"
"1753320499-8","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/cloroxpro-pine-sol-multi-surface-cleaner-sparkling-wave-english-spanish-usa002005/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2024/01/USA002005-CloroxPro-Pine-Sol-Multi-Surface-Cleaner1-Sparkling-Wave_2-1.pdf"
"1753320504-9","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/cloroxpro-pine-sol-multi-surface-cleaner-lemon-fresh-english-spanish-usa004001/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2024/01/USA004001-CloroxPro%C2%AE-Pine-Sol%C2%AE-Multi-Surface-Cleaner-Lemon-Fresh_2.pdf"
"1753320509-10","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/cloroxpro-pine-sol-multi-surface-cleaner-lavender-clean-english-spanish-usa004002/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2024/01/USA004002-CloroxPro%C2%AE-Pine-Sol%C2%AE-Multi-Surface-Cleaner-Lavender-Clean%C2%AE_2.pdf"
"1753320514-11","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/cloroxpro-pine-sol-multi-surface-cleaner1-original-pine-english-spanish-usa004000/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2024/01/USA004000-CloroxPro%C2%AE-Pine-Sol%C2%AE-Multi-Surface-Cleaner1-Original-Pine_2.pdf"
