web-scraper-order,web-scraper-start-url,sds,sds-href,pdf,pdf-href
"1753320694-1","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-healthcare-multi-surface-quat-alcohol-cleaner-disinfectant-wipes/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/cloroxhealthcaremulti-surfacequatalcoholcleanerdisinfectantwipesjw.pdf"
"1753320699-2","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-healthcare-hydrogen-peroxide-cleaner-disinfectant-wipes/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2019/08/Clorox-Healthcare%C2%AE-Hydrogen-Peroxide-Cleaner-Disinfectant-Wipes.pdf"
"1753320704-3","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-healthcare-disinfecting-wipes/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/cloroxhealthcaredisinfectingwipespde8-8-16.pdf"
"1753320709-4","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-commercial-solutions-clorox-disinfecting-wipes-lemon-fresh/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/04/US001087-Clorox-Pro-Clorox-Disinfecting-Wipes-Lemon-Fresh_1.pdf"
"1753320714-5","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-commercial-solutions-clorox-disinfecting-wipes-fresh-scent/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2021/09/US001093-CloroxPro%C2%AE-Clorox%C2%AE-Disinfecting-Wipes-Fresh-Scent.pdf"
"1753320719-6","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/cloroxpro-clean-screen-wipes/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2018/12/CloroxPro-Clean-Screen-Wipes.pdf"
"1753320724-7","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-healthcare-bleach-germicidal-wipes/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2021/11/USA001166-Clorox-Healthcare-Bleach-Germicidal-Wipes_1.pdf"
"1753320729-8","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-healthcare-versasure-alcohol-free-disinfectant-cleaner-wipes/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2024/05/USA004024-Clorox-Healthcare%C2%AE-VersaSure%E2%84%A2-Alcohol-Free-Disinfectant-Cleaner-Wipes_1.pdf"
"1753320734-9","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-healthcare-bleach-germicidal-wipes-bilingual/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2020/03/Clorox-Healthcare%C2%AE-Bleach-Germicidal-Wipes-Bilingual.pdf"
"1753320739-10","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-healthcare-hydrogen-peroxide-cleaner-disinfectant-wipes_multilingual/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2020/06/Clorox-Healthcare%C2%AE-Hydrogen-Peroxide-Cleaner-Disinfectant-Wipes_Multilingual8.pdf"
"1753320745-11","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-healthcare-versasure-alcohol-free-disinfectant-cleaner-wipes_multilingual/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2020/06/Clorox-Healthcare%C2%AE-VersaSure%E2%84%A2-Alcohol-Free-Disinfectant-Cleaner-Wipes_Multilingual10.pdf"
"1753320750-12","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-clinical-germicidal-wipes/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2021/01/US002007-Clorox-Clinical-Germicidal-Wipes_0.pdf"
"1753320755-13","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/cloroxpro-clorox-disinfecting-wipes-fresh-scent/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2022/09/USA001100-CloroxPro-Clorox-Disinfecting-Wipes-Fresh-Scent_1.pdf"
"1753320760-14","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/cloroxpro-green-works-99-naturally-derived-compostable-cleaning-wipes/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2021/07/USA001025-CloroxPro-Green-Works-99-Naturally-Derived-Compostable-Cleaning-Wipes_1.pdf"
"1753320765-15","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/cloroxpro-clorox-disinfecting-wipes-lemon-fresh/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2021/10/USA001455-Clorox-Pro-Clorox-Disinfecting-Wipes-Lemon-Fresh_1.pdf"
