web-scraper-order,web-scraper-start-url,sds,sds-href,pdf,pdf-href
"1753317224-1","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-fraganzia-spring-multi-purpose-cleaning-wipes/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2019/12/Clorox%C2%AE-Fraganzia%C2%AE-Spring-Multi-Purpose-Cleaning-Wipes.pdf"
"1753317229-2","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/green-works-compostable-cleaning-wipes-99-naturally-derived-water-lily/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/greenworkscompostablecleaningwipes-99naturallyderived-waterlilyjw2014-07-27.pdf"
"1753317234-3","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-disinfecting-wipes1-serene-clean/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/cloroxdisinfectingwipes1-serenecleanjw.pdf"
"1753317239-4","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-disinfecting-wipes1-orange-fusion/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/cloroxdisinfectingwipes1-orangefusionjw.pdf"
"1753317244-5","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-disinfecting-wipes1-fresh-scent/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2024/09/USA004048-Clorox-Disinfecting-Wipes-Fresh-Scent_1.pdf"
"1753317250-6","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-disinfecting-wipes1-fresh-lavender/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/cloroxdisinfectingwipes1-freshlavenderjw.pdf"
"1753317255-7","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-disinfecting-wipes1-citrus-blend/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/cloroxdisinfectingwipes1-citrusblendjw.pdf"
"1753317261-8","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-disinfecting-wipes-with-micro-scrubbers-citrus-blend/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/cloroxdisinfectingwipeswithmicro-scrubbers-citrusblend2015-07-27.pdf"
"1753317266-9","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-bleach-wipes/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/cloroxbleachwipesjw.pdf"
"1753317271-10","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-big-jobs-all-purpose-cleaning-wipes-fresh-scent/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/cloroxbigjobsall-purposecleaningwipes-freshscentjw.pdf"
