web-scraper-order,web-scraper-start-url,Select,Select-href,PDF,PDF-href
"1748231600-1","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-control-bleach-crystals-regular-scent/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/cloroxcontrolbleachcrystals-regularscent2015-05-12.pdf"
"1748231603-2","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-control-bleach-crystals-fresh-meadow/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/cloroxcontrolbleachcrystals-freshmeadow2015-05-12.pdf"
"1748231605-3","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-cleaning-bleach-with-the-power-of-pine-sol/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/1059839-ccloroxcleaningbleachwiththescentoflemonfreshpine-sol2.pdf"
"1748231607-4","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-clean-linen-bleach/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/cloroxcleanlinenbleachjw.pdf"
"1748231609-5","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-bleach-pen-gel/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/cloroxbleachpengelforwhitesjw2014-09-21.pdf"
"1748231611-6","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-bleach-gel-cleaner-plus-bleach1/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/cloroxbleachgelcleanerbleach1jw2014-11-13.pdf"
"1748231613-7","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-advanced-bleach/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/1279533acloroxregadvancedbleach.pdf"
"1748231615-8","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-smart-seek-bleach-fresh-meadow/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/cloroxsmartseekbleach-freshmeadowjw.pdf"
"1748231617-9","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-smart-seek-bleach-clean-linen/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/cloroxsmartseekbleach-cleanlinenjw.pdf"
"1748231619-10","https://www.thecloroxcompany.com/responsibility/healthy-lives/product-stewardship/sds/","View Details","https://www.thecloroxcompany.com/sds/clorox-regular-bleach2/","Download Safety Data Sheet - PDF","https://www.thecloroxcompany.com/wp-content/uploads/2020/12/US001153-Clorox-Regular-Bleach2_3.pdf"
